,case,num_malfunction,time_steps,runtime,done_percentage,reward
206,Test_20/Level_6,24,400,3.873,1,0.821
207,Test_20/Level_7,20,411,4.327,1,0.802
208,Test_20/Level_8,17,385,3.493,1,0.845
209,Test_20/Level_9,19,420,4.365,1,0.816
210,Test_21/Level_0,0,395,4.892,1,0.848
211,Test_21/Level_1,276,831,11.327,1,0.613
212,Test_21/Level_2,98,531,7.902,1,0.752
213,Test_21/Level_3,40,429,6.313,1,0.818
214,Test_21/Level_4,28,340,4.765,1,0.852
215,Test_21/Level_5,24,344,5.056,1,0.851
216,Test_21/Level_6,36,602,8.251,1,0.744
217,Test_21/Level_7,20,371,4.917,1,0.841
218,Test_21/Level_8,18,373,5.089,1,0.869
219,Test_21/Level_9,12,296,4.945,1,0.862
220,Test_22/Level_0,0,608,12.657,1,0.799
221,Test_22/Level_1,640,1088,20.303,0.967,0.534
222,Test_22/Level_2,241,721,12.353,1,0.716
223,Test_22/Level_3,162,820,13.551,1,0.703
224,Test_22/Level_4,147,956,13.761,1,0.743
225,Test_22/Level_5,81,671,11.689,1,0.75
226,Test_22/Level_6,45,484,8.914,1,0.808
227,Test_22/Level_7,40,509,8.498,1,0.829
228,Test_22/Level_8,40,534,8.61,1,0.82
229,Test_22/Level_9,58,806,13.9,1,0.688
230,Test_23/Level_0,0,493,10.161,1,0.87
231,Test_23/Level_1,1040,1229,29.323,0.895,0.59
232,Test_23/Level_2,434,969,22.502,1,0.679
233,Test_23/Level_3,364,1221,48.245,0.918,0.613
234,Test_23/Level_4,244,1069,23.899,1,0.679
235,Test_23/Level_5,147,860,21.337,1,0.731
236,Test_23/Level_6,104,723,15.811,1,0.795
237,Test_23/Level_7,82,703,16.562,1,0.785
238,Test_23/Level_8,58,578,16.062,1,0.825
239,Test_23/Level_9,71,703,23.618,1,0.781
240,Test_24/Level_0,0,482,19.375,1,0.868
241,Test_24/Level_1,1531,1381,55.197,0.801,0.473
242,Test_24/Level_2,710,1196,35.121,1,0.649
243,Test_24/Level_3,441,1114,33.673,1,0.671
244,Test_24/Level_4,244,830,24.199,1,0.771
245,Test_24/Level_5,198,853,24.087,1,0.775
246,Test_24/Level_6,132,676,21.597,1,0.796
247,Test_24/Level_7,148,899,25.541,1,0.767
248,Test_24/Level_8,116,753,20.878,1,0.818
249,Test_24/Level_9,126,917,25.542,1,0.774
250,Test_25/Level_0,0,1421,73.97,1,0.71
251,Test_25/Level_1,2014,1487,74.696,0.924,0.563
252,Test_25/Level_2,1078,1479,344.038,0.788,0.546
253,Test_25/Level_3,748,1496,64.262,0.975,0.604
254,Test_25/Level_4,559,1496,62.026,0.919,0.576
255,Test_25/Level_5,356,1201,41.6,1,0.701
256,Test_25/Level_6,369,1490,49.106,0.995,0.676
257,Test_25/Level_7,191,924,32.363,1,0.78
258,Test_25/Level_8,156,841,30.912,1,0.782
259,Test_25/Level_9,243,1443,52.42,1,0.681
260,Test_26/Level_0,0,908,77.726,1,0.774
261,Test_26/Level_1,2603,1600,90.263,0.784,0.449
262,Test_26/Level_2,1410,1608,114.822,0.884,0.513
263,Test_26/Level_3,885,1489,85.703,1,0.654
264,Test_26/Level_4,703,1597,89.654,0.992,0.648
265,Test_26/Level_5,351,1010,50.616,1,0.759
266,Test_26/Level_6,326,1083,49.557,1,0.719
267,Test_26/Level_7,307,1259,56.997,1,0.742
268,Test_26/Level_8,245,1108,47.736,1,0.74
269,Test_26/Level_9,166,821,35.743,1,0.808
270,Test_27/Level_0,0,981,49.825,1,0.804
271,Test_27/Level_1,3226,1696,134.392,0.755,0.414
272,Test_27/Level_2,1753,1705,81.871,0.996,0.625
273,Test_27/Level_3,1040,1498,69.304,1,0.676
274,Test_27/Level_4,881,1696,96.101,0.955,0.593
275,Test_27/Level_5,434,1092,59.674,1,0.725
276,Test_27/Level_6,516,1499,100.909,1,0.671
277,Test_27/Level_7,299,1065,53.092,1,0.764
278,Test_27/Level_8,260,1021,52.416,1,0.767
279,Test_27/Level_9,385,1701,210.814,0.924,0.633
280,Test_28/Level_0,0,797,54.147,1,0.85
281,Test_28/Level_1,3897,1791,113.71,0.941,0.529
